"car_name_year"	"origin"	"specification"	"value"
"mercury capri 2000_71"	"domestic"	"mpg"	23
"opel 1900_71"	"Europe"	"mpg"	28
"peugeot 304_71"	"Europe"	"mpg"	30
"fiat 124b_71"	"Europe"	"mpg"	30
"toyota corolla 1200_71"	"Asia"	"mpg"	31
"datsun 1200_71"	"Asia"	"mpg"	35
"volkswagen model 111_71"	"Europe"	"mpg"	27
"plymouth cricket_71"	"domestic"	"mpg"	26
"toyota corona hardtop_72"	"Asia"	"mpg"	24
"dodge colt hardtop_72"	"domestic"	"mpg"	25
"volkswagen type 3_72"	"Europe"	"mpg"	23
"chevrolet vega_72"	"domestic"	"mpg"	20
"ford pinto runabout_72"	"domestic"	"mpg"	21
"chevrolet impala_72"	"domestic"	"mpg"	13
"pontiac catalina_72"	"domestic"	"mpg"	14
"plymouth fury iii_72"	"domestic"	"mpg"	15
"ford galaxie 500_72"	"domestic"	"mpg"	14
"amc ambassador sst_72"	"domestic"	"mpg"	17
"mercury marquis_72"	"domestic"	"mpg"	11
"buick lesabre custom_72"	"domestic"	"mpg"	13
"oldsmobile delta 88 royale_72"	"domestic"	"mpg"	12
"chrysler newport royal_72"	"domestic"	"mpg"	13
"mazda rx2 coupe_72"	"Asia"	"mpg"	19
"amc matador (sw)_72"	"domestic"	"mpg"	15
"chevrolet chevelle concours (sw)_72"	"domestic"	"mpg"	13
"ford gran torino (sw)_72"	"domestic"	"mpg"	13
"plymouth satellite custom (sw)_72"	"domestic"	"mpg"	14
"volvo 145e (sw)_72"	"Europe"	"mpg"	18
"volkswagen 411 (sw)_72"	"Europe"	"mpg"	22
"peugeot 504 (sw)_72"	"Europe"	"mpg"	21
"renault 12 (sw)_72"	"Europe"	"mpg"	26
"ford pinto (sw)_72"	"domestic"	"mpg"	22
"datsun 510 (sw)_72"	"Asia"	"mpg"	28
"toyouta corona mark ii (sw)_72"	"Asia"	"mpg"	23
"dodge colt (sw)_72"	"domestic"	"mpg"	28
"toyota corolla 1600 (sw)_72"	"Asia"	"mpg"	27
"buick century 350_73"	"domestic"	"mpg"	13
"amc matador_73"	"domestic"	"mpg"	14
"chevrolet malibu_73"	"domestic"	"mpg"	13
"ford gran torino_73"	"domestic"	"mpg"	14
"dodge coronet custom_73"	"domestic"	"mpg"	15
"mercury marquis brougham_73"	"domestic"	"mpg"	12
"chevrolet caprice classic_73"	"domestic"	"mpg"	13
"ford ltd_73"	"domestic"	"mpg"	13
"plymouth fury gran sedan_73"	"domestic"	"mpg"	14
"chrysler new yorker brougham_73"	"domestic"	"mpg"	13
"buick electra 225 custom_73"	"domestic"	"mpg"	12
"amc ambassador brougham_73"	"domestic"	"mpg"	13
"plymouth valiant_73"	"domestic"	"mpg"	18
"chevrolet nova custom_73"	"domestic"	"mpg"	16
"amc hornet_73"	"domestic"	"mpg"	18
"ford maverick_73"	"domestic"	"mpg"	18
"plymouth duster_73"	"domestic"	"mpg"	23
"volkswagen super beetle_73"	"Europe"	"mpg"	26
"chevrolet impala_73"	"domestic"	"mpg"	11
"ford country_73"	"domestic"	"mpg"	12
"plymouth custom suburb_73"	"domestic"	"mpg"	13
"oldsmobile vista cruiser_73"	"domestic"	"mpg"	12
"amc gremlin_73"	"domestic"	"mpg"	18
"toyota carina_73"	"Asia"	"mpg"	20
"chevrolet vega_73"	"domestic"	"mpg"	21
"datsun 610_73"	"Asia"	"mpg"	22
"maxda rx3_73"	"Asia"	"mpg"	18
"ford pinto_73"	"domestic"	"mpg"	19
"mercury capri v6_73"	"domestic"	"mpg"	21
"fiat 124 sport coupe_73"	"Europe"	"mpg"	26
"chevrolet monte carlo s_73"	"domestic"	"mpg"	15
"pontiac grand prix_73"	"domestic"	"mpg"	16
"fiat 128_73"	"Europe"	"mpg"	29
"opel manta_73"	"Europe"	"mpg"	24
"audi 100ls_73"	"Europe"	"mpg"	20
"volvo 144ea_73"	"Europe"	"mpg"	19
"dodge dart custom_73"	"domestic"	"mpg"	15
"saab 99le_73"	"Europe"	"mpg"	24
"toyota mark ii_73"	"Asia"	"mpg"	20
"oldsmobile omega_73"	"domestic"	"mpg"	11
"plymouth duster_74"	"domestic"	"mpg"	20
"ford maverick_74"	"domestic"	"mpg"	21
"amc hornet_74"	"domestic"	"mpg"	19
"chevrolet nova_74"	"domestic"	"mpg"	15
"datsun b210_74"	"Asia"	"mpg"	31
"ford pinto_74"	"domestic"	"mpg"	26
"toyota corolla 1200_74"	"Asia"	"mpg"	32
"chevrolet vega_74"	"domestic"	"mpg"	25
"chevrolet chevelle malibu classic_74"	"domestic"	"mpg"	16
"amc matador_74"	"domestic"	"mpg"	16
"plymouth satellite sebring_74"	"domestic"	"mpg"	18
"ford gran torino_74"	"domestic"	"mpg"	16
"buick century luxus (sw)_74"	"domestic"	"mpg"	13
"dodge coronet custom (sw)_74"	"domestic"	"mpg"	14
"ford gran torino (sw)_74"	"domestic"	"mpg"	14
"amc matador (sw)_74"	"domestic"	"mpg"	14
"audi fox_74"	"Europe"	"mpg"	29
"volkswagen dasher_74"	"Europe"	"mpg"	26
"opel manta_74"	"Europe"	"mpg"	26
"toyota corona_74"	"Asia"	"mpg"	31
"datsun 710_74"	"Asia"	"mpg"	32
"dodge colt_74"	"domestic"	"mpg"	28
"fiat 128_74"	"Europe"	"mpg"	24
"fiat 124 tc_74"	"Europe"	"mpg"	26
"honda civic_74"	"Asia"	"mpg"	24
"subaru_74"	"Asia"	"mpg"	26
"fiat x1.9_74"	"Europe"	"mpg"	31
"plymouth valiant custom_75"	"domestic"	"mpg"	19
"chevrolet nova_75"	"domestic"	"mpg"	18
"mercury monarch_75"	"domestic"	"mpg"	15
"ford maverick_75"	"domestic"	"mpg"	15
"pontiac catalina_75"	"domestic"	"mpg"	16
"chevrolet bel air_75"	"domestic"	"mpg"	15
"plymouth grand fury_75"	"domestic"	"mpg"	16
"ford ltd_75"	"domestic"	"mpg"	14
"buick century_75"	"domestic"	"mpg"	17
"chevroelt chevelle malibu_75"	"domestic"	"mpg"	16
"amc matador_75"	"domestic"	"mpg"	15
"plymouth fury_75"	"domestic"	"mpg"	18
"buick skyhawk_75"	"domestic"	"mpg"	21
"chevrolet monza 2+2_75"	"domestic"	"mpg"	20
"ford mustang ii_75"	"domestic"	"mpg"	13
"toyota corolla_75"	"Asia"	"mpg"	29
"ford pinto_75"	"domestic"	"mpg"	23
"amc gremlin_75"	"domestic"	"mpg"	20
"pontiac astro_75"	"domestic"	"mpg"	23
"toyota corona_75"	"Asia"	"mpg"	24
"volkswagen dasher_75"	"Europe"	"mpg"	25
"datsun 710_75"	"Asia"	"mpg"	24
"volkswagen rabbit_75"	"Europe"	"mpg"	29
"amc pacer_75"	"domestic"	"mpg"	19
"audi 100ls_75"	"Europe"	"mpg"	23
"peugeot 504_75"	"Europe"	"mpg"	23
"volvo 244dl_75"	"Europe"	"mpg"	22
"saab 99le_75"	"Europe"	"mpg"	25
"honda civic cvcc_75"	"Asia"	"mpg"	33
"fiat 131_76"	"Europe"	"mpg"	28
"opel 1900_76"	"Europe"	"mpg"	25
"capri ii_76"	"domestic"	"mpg"	25
"dodge colt_76"	"domestic"	"mpg"	26
"renault 12tl_76"	"Europe"	"mpg"	27
"chevrolet chevelle malibu classic_76"	"domestic"	"mpg"	17.5
"dodge coronet brougham_76"	"domestic"	"mpg"	16
"amc matador_76"	"domestic"	"mpg"	15.5
"ford gran torino_76"	"domestic"	"mpg"	14.5
"plymouth valiant_76"	"domestic"	"mpg"	22
"chevrolet nova_76"	"domestic"	"mpg"	22
"ford maverick_76"	"domestic"	"mpg"	24
"amc hornet_76"	"domestic"	"mpg"	22.5
"chevrolet chevette_76"	"domestic"	"mpg"	29
"chevrolet woody_76"	"domestic"	"mpg"	24.5
"vw rabbit_76"	"Europe"	"mpg"	29
"honda civic_76"	"Asia"	"mpg"	33
"dodge aspen se_76"	"domestic"	"mpg"	20
"ford granada ghia_76"	"domestic"	"mpg"	18
"pontiac ventura sj_76"	"domestic"	"mpg"	18.5
"amc pacer d/l_76"	"domestic"	"mpg"	17.5
"volkswagen rabbit_76"	"Europe"	"mpg"	29.5
"datsun b-210_76"	"Asia"	"mpg"	32
"toyota corolla_76"	"Asia"	"mpg"	28
"ford pinto_76"	"domestic"	"mpg"	26.5
"volvo 245_76"	"Europe"	"mpg"	20
"plymouth volare premier v8_76"	"domestic"	"mpg"	13
"peugeot 504_76"	"Europe"	"mpg"	19
"toyota mark ii_76"	"Asia"	"mpg"	19
"mercedes-benz 280s_76"	"Europe"	"mpg"	16.5
"cadillac seville_76"	"domestic"	"mpg"	16.5
"chevy c10_76"	"domestic"	"mpg"	13
"ford f108_76"	"domestic"	"mpg"	13
"dodge d100_76"	"domestic"	"mpg"	13
"honda accord cvcc_77"	"Asia"	"mpg"	31.5
"buick opel isuzu deluxe_77"	"domestic"	"mpg"	30
"renault 5 gtl_77"	"Europe"	"mpg"	36
"plymouth arrow gs_77"	"domestic"	"mpg"	25.5
"datsun f-10 hatchback_77"	"Asia"	"mpg"	33.5
"chevrolet caprice classic_77"	"domestic"	"mpg"	17.5
"oldsmobile cutlass supreme_77"	"domestic"	"mpg"	17
"dodge monaco brougham_77"	"domestic"	"mpg"	15.5
"mercury cougar brougham_77"	"domestic"	"mpg"	15
"chevrolet concours_77"	"domestic"	"mpg"	17.5
"buick skylark_77"	"domestic"	"mpg"	20.5
"plymouth volare custom_77"	"domestic"	"mpg"	19
"ford granada_77"	"domestic"	"mpg"	18.5
"pontiac grand prix lj_77"	"domestic"	"mpg"	16
"chevrolet monte carlo landau_77"	"domestic"	"mpg"	15.5
"chrysler cordoba_77"	"domestic"	"mpg"	15.5
"ford thunderbird_77"	"domestic"	"mpg"	16
"volkswagen rabbit custom_77"	"Europe"	"mpg"	29
"pontiac sunbird coupe_77"	"domestic"	"mpg"	24.5
"toyota corolla liftback_77"	"Asia"	"mpg"	26
"ford mustang ii 2+2_77"	"domestic"	"mpg"	25.5
"chevrolet chevette_77"	"domestic"	"mpg"	30.5
"dodge colt m/m_77"	"domestic"	"mpg"	33.5
"subaru dl_77"	"Asia"	"mpg"	30
"volkswagen dasher_77"	"Europe"	"mpg"	30.5
"datsun 810_77"	"Asia"	"mpg"	22
"bmw 320i_77"	"Europe"	"mpg"	21.5
"mazda rx-4_77"	"Asia"	"mpg"	21.5
"volkswagen rabbit custom diesel_78"	"Europe"	"mpg"	43.1
"ford fiesta_78"	"domestic"	"mpg"	36.1
"mazda glc deluxe_78"	"Asia"	"mpg"	32.8
"datsun b210 gx_78"	"Asia"	"mpg"	39.4
"honda civic cvcc_78"	"Asia"	"mpg"	36.1
"oldsmobile cutlass salon brougham_78"	"domestic"	"mpg"	19.9
"dodge diplomat_78"	"domestic"	"mpg"	19.4
"mercury monarch ghia_78"	"domestic"	"mpg"	20.2
"pontiac phoenix lj_78"	"domestic"	"mpg"	19.2
"chevrolet malibu_78"	"domestic"	"mpg"	20.5
"ford fairmont (auto)_78"	"domestic"	"mpg"	20.2
"ford fairmont (man)_78"	"domestic"	"mpg"	25.1
"plymouth volare_78"	"domestic"	"mpg"	20.5
"amc concord_78"	"domestic"	"mpg"	19.4
"buick century special_78"	"domestic"	"mpg"	20.6
"mercury zephyr_78"	"domestic"	"mpg"	20.8
"dodge aspen_78"	"domestic"	"mpg"	18.6
"amc concord d/l_78"	"domestic"	"mpg"	18.1
"chevrolet monte carlo landau_78"	"domestic"	"mpg"	19.2
"buick regal sport coupe (turbo)_78"	"domestic"	"mpg"	17.7
"ford futura_78"	"domestic"	"mpg"	18.1
"dodge magnum xe_78"	"domestic"	"mpg"	17.5
"chevrolet chevette_78"	"domestic"	"mpg"	30
"toyota corona_78"	"Asia"	"mpg"	27.5
"datsun 510_78"	"Asia"	"mpg"	27.2
"dodge omni_78"	"domestic"	"mpg"	30.9
"toyota celica gt liftback_78"	"Asia"	"mpg"	21.1
"plymouth sapporo_78"	"domestic"	"mpg"	23.2
"oldsmobile starfire sx_78"	"domestic"	"mpg"	23.8
"datsun 200-sx_78"	"Asia"	"mpg"	23.9
"audi 5000_78"	"Europe"	"mpg"	20.3
"volvo 264gl_78"	"Europe"	"mpg"	17
"saab 99gle_78"	"Europe"	"mpg"	21.6
"peugeot 604sl_78"	"Europe"	"mpg"	16.2
"volkswagen scirocco_78"	"Europe"	"mpg"	31.5
"honda accord lx_78"	"Asia"	"mpg"	29.5
"pontiac lemans v6_79"	"domestic"	"mpg"	21.5
"mercury zephyr 6_79"	"domestic"	"mpg"	19.8
"ford fairmont 4_79"	"domestic"	"mpg"	22.3
"amc concord dl 6_79"	"domestic"	"mpg"	20.2
"dodge aspen 6_79"	"domestic"	"mpg"	20.6
"chevrolet caprice classic_79"	"domestic"	"mpg"	17
"ford ltd landau_79"	"domestic"	"mpg"	17.6
"mercury grand marquis_79"	"domestic"	"mpg"	16.5
"dodge st. regis_79"	"domestic"	"mpg"	18.2
"buick estate wagon (sw)_79"	"domestic"	"mpg"	16.9
"ford country squire (sw)_79"	"domestic"	"mpg"	15.5
"chevrolet malibu classic (sw)_79"	"domestic"	"mpg"	19.2
"chrysler lebaron town @ country (sw)_79"	"domestic"	"mpg"	18.5
"vw rabbit custom_79"	"Europe"	"mpg"	31.9
"maxda glc deluxe_79"	"Asia"	"mpg"	34.1
"dodge colt hatchback custom_79"	"domestic"	"mpg"	35.7
"amc spirit dl_79"	"domestic"	"mpg"	27.4
"mercedes benz 300d_79"	"Europe"	"mpg"	25.4
"cadillac eldorado_79"	"domestic"	"mpg"	23
"peugeot 504_79"	"Europe"	"mpg"	27.2
"oldsmobile cutlass salon brougham_79"	"domestic"	"mpg"	23.9
"plymouth horizon_79"	"domestic"	"mpg"	34.2
"plymouth horizon tc3_79"	"domestic"	"mpg"	34.5
"datsun 210_79"	"Asia"	"mpg"	31.8
"fiat strada custom_79"	"Europe"	"mpg"	37.3
"buick skylark limited_79"	"domestic"	"mpg"	28.4
"chevrolet citation_79"	"domestic"	"mpg"	28.8
"oldsmobile omega brougham_79"	"domestic"	"mpg"	26.8
"pontiac phoenix_79"	"domestic"	"mpg"	33.5
"vw rabbit_80"	"Europe"	"mpg"	41.5
"toyota corolla tercel_80"	"Asia"	"mpg"	38.1
"chevrolet chevette_80"	"domestic"	"mpg"	32.1
"datsun 310_80"	"Asia"	"mpg"	37.2
"chevrolet citation_80"	"domestic"	"mpg"	28
"ford fairmont_80"	"domestic"	"mpg"	26.4
"amc concord_80"	"domestic"	"mpg"	24.3
"dodge aspen_80"	"domestic"	"mpg"	19.1
"audi 4000_80"	"Europe"	"mpg"	34.3
"toyota corona liftback_80"	"Asia"	"mpg"	29.8
"mazda 626_80"	"Asia"	"mpg"	31.3
"datsun 510 hatchback_80"	"Asia"	"mpg"	37
"toyota corolla_80"	"Asia"	"mpg"	32.2
"mazda glc_80"	"Asia"	"mpg"	46.6
"dodge colt_80"	"domestic"	"mpg"	27.9
"datsun 210_80"	"Asia"	"mpg"	40.8
"vw rabbit c (diesel)_80"	"Europe"	"mpg"	44.3
"vw dasher (diesel)_80"	"Europe"	"mpg"	43.4
"audi 5000s (diesel)_80"	"Europe"	"mpg"	36.4
"mercedes-benz 240d_80"	"Europe"	"mpg"	30
"honda civic 1500 gl_80"	"Asia"	"mpg"	44.6
"renault lecar deluxe_80"	"Europe"	"mpg"	40.9
"subaru dl_80"	"Asia"	"mpg"	33.8
"vokswagen rabbit_80"	"Europe"	"mpg"	29.8
"datsun 280-zx_80"	"Asia"	"mpg"	32.7
"mazda rx-7 gs_80"	"Asia"	"mpg"	23.7
"triumph tr7 coupe_80"	"Europe"	"mpg"	35
"ford mustang cobra_80"	"domestic"	"mpg"	23.6
"honda accord_80"	"Asia"	"mpg"	32.4
"plymouth reliant_81"	"domestic"	"mpg"	27.2
"buick skylark_81"	"domestic"	"mpg"	26.6
"dodge aries wagon (sw)_81"	"domestic"	"mpg"	25.8
"chevrolet citation_81"	"domestic"	"mpg"	23.5
"toyota starlet_81"	"Asia"	"mpg"	39.1
"plymouth champ_81"	"domestic"	"mpg"	39
"honda civic 1300_81"	"Asia"	"mpg"	35.1
"subaru_81"	"Asia"	"mpg"	32.3
"datsun 210 mpg_81"	"Asia"	"mpg"	37
"toyota tercel_81"	"Asia"	"mpg"	37.7
"mazda glc 4_81"	"Asia"	"mpg"	34.1
"plymouth horizon 4_81"	"domestic"	"mpg"	34.7
"ford escort 4w_81"	"domestic"	"mpg"	34.4
"ford escort 2h_81"	"domestic"	"mpg"	29.9
"volkswagen jetta_81"	"Europe"	"mpg"	33
"renault 18i_81"	"Europe"	"mpg"	34.5
"honda prelude_81"	"Asia"	"mpg"	33.7
"toyota corolla_81"	"Asia"	"mpg"	32.4
"datsun 200sx_81"	"Asia"	"mpg"	32.9
"mazda 626_81"	"Asia"	"mpg"	31.6
"peugeot 505s turbo diesel_81"	"Europe"	"mpg"	28.1
"volvo diesel_81"	"Europe"	"mpg"	30.7
"toyota cressida_81"	"Asia"	"mpg"	25.4
"datsun 810 maxima_81"	"Asia"	"mpg"	24.2
"buick century_81"	"domestic"	"mpg"	22.4
"oldsmobile cutlass ls_81"	"domestic"	"mpg"	26.6
"ford granada gl_81"	"domestic"	"mpg"	20.2
"chrysler lebaron salon_81"	"domestic"	"mpg"	17.6
"chevrolet cavalier_82"	"domestic"	"mpg"	28
"chevrolet cavalier wagon_82"	"domestic"	"mpg"	27
"chevrolet cavalier 2-door_82"	"domestic"	"mpg"	34
"pontiac j2000 se hatchback_82"	"domestic"	"mpg"	31
"dodge aries se_82"	"domestic"	"mpg"	29
"pontiac phoenix_82"	"domestic"	"mpg"	27
"ford fairmont futura_82"	"domestic"	"mpg"	24
"amc concord dl_82"	"domestic"	"mpg"	23
"volkswagen rabbit l_82"	"Europe"	"mpg"	36
"mazda glc custom l_82"	"Asia"	"mpg"	37
"mazda glc custom_82"	"Asia"	"mpg"	31
"plymouth horizon miser_82"	"domestic"	"mpg"	38
"mercury lynx l_82"	"domestic"	"mpg"	36
"nissan stanza xe_82"	"Asia"	"mpg"	36
"honda accord_82"	"Asia"	"mpg"	36
"toyota corolla_82"	"Asia"	"mpg"	34
"honda civic_82"	"Asia"	"mpg"	38
"honda civic (auto)_82"	"Asia"	"mpg"	32
"datsun 310 gx_82"	"Asia"	"mpg"	38
"buick century limited_82"	"domestic"	"mpg"	25
"oldsmobile cutlass ciera (diesel)_82"	"domestic"	"mpg"	38
"chrysler lebaron medallion_82"	"domestic"	"mpg"	26
"ford granada l_82"	"domestic"	"mpg"	22
"toyota celica gt_82"	"Asia"	"mpg"	32
"dodge charger 2.2_82"	"domestic"	"mpg"	36
"chevrolet camaro_82"	"domestic"	"mpg"	27
"ford mustang gl_82"	"domestic"	"mpg"	27
"vw pickup_82"	"Europe"	"mpg"	44
"dodge rampage_82"	"domestic"	"mpg"	32
"ford ranger_82"	"domestic"	"mpg"	28
"chevy s-10_82"	"domestic"	"mpg"	31
"chevrolet chevelle malibu_70"	"domestic"	"cylinders"	8
"buick skylark 320_70"	"domestic"	"cylinders"	8
"plymouth satellite_70"	"domestic"	"cylinders"	8
"amc rebel sst_70"	"domestic"	"cylinders"	8
"ford torino_70"	"domestic"	"cylinders"	8
"ford galaxie 500_70"	"domestic"	"cylinders"	8
"chevrolet impala_70"	"domestic"	"cylinders"	8
"plymouth fury iii_70"	"domestic"	"cylinders"	8
"pontiac catalina_70"	"domestic"	"cylinders"	8
"amc ambassador dpl_70"	"domestic"	"cylinders"	8
"dodge challenger se_70"	"domestic"	"cylinders"	8
"plymouth 'cuda 340_70"	"domestic"	"cylinders"	8
"chevrolet monte carlo_70"	"domestic"	"cylinders"	8
"buick estate wagon (sw)_70"	"domestic"	"cylinders"	8
"toyota corona mark ii_70"	"Asia"	"cylinders"	4
"plymouth duster_70"	"domestic"	"cylinders"	6
"amc hornet_70"	"domestic"	"cylinders"	6
"ford maverick_70"	"domestic"	"cylinders"	6
"datsun pl510_70"	"Asia"	"cylinders"	4
"volkswagen 1131 deluxe sedan_70"	"Europe"	"cylinders"	4
"peugeot 504_70"	"Europe"	"cylinders"	4
"audi 100 ls_70"	"Europe"	"cylinders"	4
"saab 99e_70"	"Europe"	"cylinders"	4
"bmw 2002_70"	"Europe"	"cylinders"	4
"amc gremlin_70"	"domestic"	"cylinders"	6
"ford f250_70"	"domestic"	"cylinders"	8
"chevy c20_70"	"domestic"	"cylinders"	8
"dodge d200_70"	"domestic"	"cylinders"	8
"hi 1200d_70"	"domestic"	"cylinders"	8
"datsun pl510_71"	"Asia"	"cylinders"	4
"chevrolet vega 2300_71"	"domestic"	"cylinders"	4
"toyota corona_71"	"Asia"	"cylinders"	4
"ford pinto_71"	"domestic"	"cylinders"	4
"amc gremlin_71"	"domestic"	"cylinders"	6
"plymouth satellite custom_71"	"domestic"	"cylinders"	6
"chevrolet chevelle malibu_71"	"domestic"	"cylinders"	6
"ford torino 500_71"	"domestic"	"cylinders"	6
"amc matador_71"	"domestic"	"cylinders"	6
"chevrolet impala_71"	"domestic"	"cylinders"	8
"pontiac catalina brougham_71"	"domestic"	"cylinders"	8
"ford galaxie 500_71"	"domestic"	"cylinders"	8
"plymouth fury iii_71"	"domestic"	"cylinders"	8
"dodge monaco (sw)_71"	"domestic"	"cylinders"	8
"ford country squire (sw)_71"	"domestic"	"cylinders"	8
"pontiac safari (sw)_71"	"domestic"	"cylinders"	8
"amc hornet sportabout (sw)_71"	"domestic"	"cylinders"	6
"chevrolet vega (sw)_71"	"domestic"	"cylinders"	4
"pontiac firebird_71"	"domestic"	"cylinders"	6
"ford mustang_71"	"domestic"	"cylinders"	6
"mercury capri 2000_71"	"domestic"	"cylinders"	4
"opel 1900_71"	"Europe"	"cylinders"	4
"peugeot 304_71"	"Europe"	"cylinders"	4
"fiat 124b_71"	"Europe"	"cylinders"	4
"toyota corolla 1200_71"	"Asia"	"cylinders"	4
"datsun 1200_71"	"Asia"	"cylinders"	4
"volkswagen model 111_71"	"Europe"	"cylinders"	4
"plymouth cricket_71"	"domestic"	"cylinders"	4
"toyota corona hardtop_72"	"Asia"	"cylinders"	4
"dodge colt hardtop_72"	"domestic"	"cylinders"	4
"volkswagen type 3_72"	"Europe"	"cylinders"	4
"chevrolet vega_72"	"domestic"	"cylinders"	4
"ford pinto runabout_72"	"domestic"	"cylinders"	4
"chevrolet impala_72"	"domestic"	"cylinders"	8
"pontiac catalina_72"	"domestic"	"cylinders"	8
"plymouth fury iii_72"	"domestic"	"cylinders"	8
"ford galaxie 500_72"	"domestic"	"cylinders"	8
"amc ambassador sst_72"	"domestic"	"cylinders"	8
"mercury marquis_72"	"domestic"	"cylinders"	8
"buick lesabre custom_72"	"domestic"	"cylinders"	8
"oldsmobile delta 88 royale_72"	"domestic"	"cylinders"	8
"chrysler newport royal_72"	"domestic"	"cylinders"	8
"mazda rx2 coupe_72"	"Asia"	"cylinders"	3
"amc matador (sw)_72"	"domestic"	"cylinders"	8
"chevrolet chevelle concours (sw)_72"	"domestic"	"cylinders"	8
"ford gran torino (sw)_72"	"domestic"	"cylinders"	8
"plymouth satellite custom (sw)_72"	"domestic"	"cylinders"	8
"volvo 145e (sw)_72"	"Europe"	"cylinders"	4
"volkswagen 411 (sw)_72"	"Europe"	"cylinders"	4
"peugeot 504 (sw)_72"	"Europe"	"cylinders"	4
"renault 12 (sw)_72"	"Europe"	"cylinders"	4
"ford pinto (sw)_72"	"domestic"	"cylinders"	4
"datsun 510 (sw)_72"	"Asia"	"cylinders"	4
"toyouta corona mark ii (sw)_72"	"Asia"	"cylinders"	4
"dodge colt (sw)_72"	"domestic"	"cylinders"	4
"toyota corolla 1600 (sw)_72"	"Asia"	"cylinders"	4
"buick century 350_73"	"domestic"	"cylinders"	8
"amc matador_73"	"domestic"	"cylinders"	8
"chevrolet malibu_73"	"domestic"	"cylinders"	8
"ford gran torino_73"	"domestic"	"cylinders"	8
"dodge coronet custom_73"	"domestic"	"cylinders"	8
"mercury marquis brougham_73"	"domestic"	"cylinders"	8
"chevrolet caprice classic_73"	"domestic"	"cylinders"	8
"ford ltd_73"	"domestic"	"cylinders"	8
"plymouth fury gran sedan_73"	"domestic"	"cylinders"	8
"chrysler new yorker brougham_73"	"domestic"	"cylinders"	8
"buick electra 225 custom_73"	"domestic"	"cylinders"	8
"amc ambassador brougham_73"	"domestic"	"cylinders"	8
"plymouth valiant_73"	"domestic"	"cylinders"	6
"chevrolet nova custom_73"	"domestic"	"cylinders"	6
"amc hornet_73"	"domestic"	"cylinders"	6
"ford maverick_73"	"domestic"	"cylinders"	6
"plymouth duster_73"	"domestic"	"cylinders"	6
"volkswagen super beetle_73"	"Europe"	"cylinders"	4
"chevrolet impala_73"	"domestic"	"cylinders"	8
"ford country_73"	"domestic"	"cylinders"	8
"plymouth custom suburb_73"	"domestic"	"cylinders"	8
"oldsmobile vista cruiser_73"	"domestic"	"cylinders"	8
"amc gremlin_73"	"domestic"	"cylinders"	6
"toyota carina_73"	"Asia"	"cylinders"	4
"chevrolet vega_73"	"domestic"	"cylinders"	4
"datsun 610_73"	"Asia"	"cylinders"	4
